MP,FG%,3P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
37.37,0.25,0.375,1.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,13.0
37.31,0.5,0.0,0.75,2.0,7.0,9.0,2.0,2.0,1.0,1.0,1.0,17.0
37.11,0.381,0.5,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,22.0
26.4,0.25,0.0,0.0,2.0,7.0,9.0,0.0,2.0,0.0,1.0,0.0,2.0
17.17,0.2,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,6.0,6.0
34.44,0.6,0.0,0.667,2.0,2.0,4.0,6.0,1.0,0.0,2.0,2.0,14.0
22.4,0.41700000000000004,0.25,0.5,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,13.0
13.47,0.25,0.0,1.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0,1.0,4.0
11.15,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0
1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.53,0.5,0.5,1.0,4.0,5.0,9.0,0.0,0.0,1.0,4.0,3.0,18.0
38.4,0.4,0.0,0.0,1.0,6.0,7.0,2.0,1.0,0.0,6.0,4.0,12.0
30.36,0.43799999999999994,0.25,0.75,1.0,1.0,2.0,8.0,0.0,0.0,2.0,2.0,19.0
30.01,0.444,0.5,0.0,3.0,8.0,11.0,9.0,0.0,2.0,1.0,3.0,9.0
21.41,0.5,0.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,8.0
20.37,0.3,0.0,1.0,2.0,5.0,7.0,3.0,1.0,0.0,0.0,1.0,13.0
19.45,0.7140000000000001,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,10.0
16.1,0.0,0.0,0.0,2.0,6.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0
9.07,0.4,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0
8.22,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38.15,0.522,0.4,1.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,2.0,33.0
35.48,0.47600000000000003,0.0,1.0,2.0,4.0,6.0,6.0,3.0,0.0,7.0,4.0,28.0
26.54,0.25,0.0,1.0,2.0,6.0,8.0,1.0,2.0,1.0,1.0,4.0,4.0
24.51,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,4.0,4.0
20.12,0.429,0.0,0.0,1.0,5.0,6.0,1.0,0.0,1.0,1.0,2.0,6.0
29.36,0.556,0.33299999999999996,0.833,2.0,4.0,6.0,3.0,0.0,0.0,3.0,1.0,16.0
22.32,0.5,0.0,0.75,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0
15.1,0.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0
14.3,0.33299999999999996,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
12.12,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0
41.01,0.429,0.33299999999999996,0.75,5.0,7.0,12.0,5.0,1.0,0.0,3.0,3.0,22.0
36.27,0.40700000000000003,0.0,0.667,2.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,24.0
24.43,0.5,0.33299999999999996,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,5.0
19.48,0.667,0.0,0.667,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,12.0
17.51,0.33299999999999996,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0
27.08,0.545,0.33299999999999996,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,14.0
26.18,0.667,0.0,1.0,0.0,5.0,5.0,6.0,0.0,0.0,0.0,4.0,6.0
23.48,0.429,0.0,0.5,2.0,4.0,6.0,1.0,1.0,0.0,2.0,3.0,13.0
19.36,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
3.2,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
