"","AST","BLK","MP","PF","PTS","STL","TOV","TRB","TPP","FGP","FTP"
"231",0.05,0,0.409916201117318,0.5,0.228070175438596,0.125,0.2,0.2,0,0.429,0.5
"233",0,0,0.0558659217877095,0.166666666666667,0.0350877192982456,0,0.1,0.0333333333333333,0,0.5,0
"234",0.2,0,0.550453910614525,0,0.473684210526316,0.375,0.2,0.133333333333333,0.5,0.667,1
"235",0.1,0,0.481494413407821,0.333333333333333,0.192982456140351,0.25,0,0.0333333333333333,0.5,0.5,1
"238",0,0,0.236731843575419,0.166666666666667,0.0175438596491228,0,0,0.1,0,0,0.5
"239",0.1,0,0.513268156424581,0.333333333333333,0.140350877192982,0.375,0.2,0.133333333333333,0.143,0.25,0.5
"240",0.25,0.0909090909090909,0.474336592178771,0.166666666666667,0.315789473684211,0.375,0.3,0.166666666666667,1,0.75,1
"241",0,0,0.374127094972067,0.5,0.315789473684211,0.125,0.2,0.166666666666667,0.4,0.538,1
"242",0,0,0.368191340782123,0.333333333333333,0.0701754385964912,0,0,0.2,0,0,1
"244",0,0,0.0567388268156425,0.166666666666667,0,0.125,0,0.0333333333333333,0,0,0
"245",0,0,0.456005586592179,0.333333333333333,0.350877192982456,0,0.1,0.133333333333333,0,0.5,1
"246",0.2,0,0.441166201117318,0.166666666666667,0.0350877192982456,0.375,0.1,0.0666666666666667,0,0.2,0
"247",0.2,0,0.421438547486034,0.333333333333333,0.210526315789474,0,0.2,0.1,0.5,0.444,0
"249",0,0,0.373254189944134,0.333333333333333,0.12280701754386,0,0,0.166666666666667,0,0.6,0.25
"251",0.2,0,0.444483240223464,0.333333333333333,0.105263157894737,0.25,0.4,0.0666666666666667,0,0.375,0
"253",0.05,0,0.251920391061453,0.666666666666667,0.175438596491228,0.25,0.2,0.0666666666666667,1,0.6,1
"254",0,0.0909090909090909,0.193086592178771,0.833333333333333,0.210526315789474,0.125,0.3,0.1,0,1,1
"255",0,0,0.0918296089385475,0.5,0.0350877192982456,0.25,0,0,0,0.5,0
"256",0,0,0.0773393854748603,0,0.0526315789473684,0,0,0.0333333333333333,0,0.5,0.5
"257",0,0,0.071054469273743,0,0,0,0,0.0333333333333333,0,0,0
"258",0.15,0.0909090909090909,0.649965083798883,0.666666666666667,0.228070175438596,0.125,0.3,0.2,0,0.833,0.75
"260",0.35,0,0.563198324022346,0.5,0.192982456140351,0.25,0.3,0.1,1,0.4,1
"261",0.05,0,0.498079608938547,0.5,0.175438596491228,0.125,0.3,0.2,0,0.375,0.5
"264",0,0,0.300104748603352,0.333333333333333,0.105263157894737,0,0.1,0.166666666666667,0,0.6,0
"266",0.05,0,0.28945530726257,0.5,0.140350877192982,0,0.1,0,0,0.667,0
"268",0,0,0.0736731843575419,0.166666666666667,0,0,0,0,0,0,0
"270",0.05,0.0909090909090909,0.550453910614525,0.166666666666667,0.245614035087719,0.125,0,0.1,0.429,0.455,0.5
"272",0.15,0.0909090909090909,0.368715083798883,0.666666666666667,0.175438596491228,0,0.4,0.2,0,0.571,1
"273",0,0,0.165153631284916,0.666666666666667,0.105263157894737,0,0.1,0.0333333333333333,0,0.75,0
"277",0.1,0,0.253317039106145,0.333333333333333,0,0.125,0.1,0.0333333333333333,0,0,0
"278",0.05,0,0.232716480446927,0.166666666666667,0.105263157894737,0.25,0.1,0.2,0.2,0.222,0.25
"280",0.05,0,0.0202513966480447,0,0,0,0,0,0,0,0
"281",0.15,0.0909090909090909,0.682262569832402,0.666666666666667,0.350877192982456,0.125,0.1,0.133333333333333,0,0.5,0.667
"282",0.05,0.0909090909090909,0.595670391061452,0.5,0.228070175438596,0,0.1,0.233333333333333,0.5,0.545,0
"283",0.05,0,0.578212290502793,0.666666666666667,0.245614035087719,0.25,0,0.233333333333333,0,0.4,0.4
"284",0.05,0,0.527932960893855,0.333333333333333,0.175438596491228,0,0.1,0.166666666666667,0,0.364,1
"285",0,0.181818181818182,0.458624301675978,0.333333333333333,0.0701754385964912,0,0.1,0.3,0,0.2,0.5
"286",0.1,0,0.460195530726257,0,0.175438596491228,0.375,0.5,0.1,0.333,0.429,1
"287",0,0,0.355796089385475,0.666666666666667,0.175438596491228,0.125,0.3,0.166666666666667,0,0.625,0
"289",0,0,0.194832402234637,0.166666666666667,0,0,0.1,0.133333333333333,0,0,0
"290",0.05,0,0.0391061452513966,0,0,0,0,0.0333333333333333,0,0,0
"293",0,0,0.402583798882682,0,0.0526315789473684,0.25,0,0.133333333333333,0,0.167,1
"294",0.05,0,0.39088687150838,0,0.105263157894737,0,0.2,0.233333333333333,0,0.3,0
"295",0,0,0.367493016759777,0.5,0.228070175438596,0.125,0,0.166666666666667,0,0.667,0.333
"297",0.1,0.181818181818182,0.428421787709497,0.666666666666667,0.12280701754386,0.25,0.1,0.3,0.333,0.4,1
"298",0.05,0,0.353002793296089,0.5,0.0350877192982456,0.125,0.2,0.0333333333333333,0,0.125,0
"300",0.05,0,0.19465782122905,0.333333333333333,0,0.125,0.2,0.0333333333333333,0,0,0
"301",0.05,0,0.122905027932961,0.333333333333333,0.0350877192982456,0,0,0,0,0,1
"303",0.45,0.0909090909090909,0.673009776536313,0.333333333333333,0.175438596491228,0.25,0.1,0.466666666666667,0,0.556,0
"305",0.15,0.181818181818182,0.477828212290503,0.5,0.175438596491228,0,0.3,0.266666666666667,0,0.556,0
"307",0,0,0.50768156424581,0.5,0.175438596491228,0.25,0.4,0.266666666666667,0,0.556,0
"308",0.1,0,0.47590782122905,0.333333333333333,0.43859649122807,0,0.2,0.0333333333333333,0.6,0.529,1
"310",0.15,0.272727272727273,0.721543296089385,0.333333333333333,0.43859649122807,0.375,0.2,0.233333333333333,0,0.44,0.75
"311",0,0.0909090909090909,0.703736033519553,0.333333333333333,0.280701754385965,0.125,0.1,0.2,0.5,0.286,0.833
"312",0.4,0,0.601780726256983,0.666666666666667,0.210526315789474,0.125,0.3,0.2,0,0.286,0.667
"316",0.05,0,0.355621508379888,0.5,0.175438596491228,0,0.1,0.166666666666667,0.5,0.4,0
"318",0,0,0.0544692737430168,0.166666666666667,0.0526315789473684,0,0.1,0,1,0.5,0
"319",0,0,0.0261871508379888,0.166666666666667,0,0,0,0,0,0,0
"320",0.3,0,0.667248603351955,0.666666666666667,0.508771929824561,0.25,0.2,0.166666666666667,0,0.417,0.9
"321",0.15,0,0.564071229050279,0.833333333333333,0.263157894736842,0.125,0.2,0.3,0,0.583,0.5
"323",0.15,0,0.355796089385475,0,0.0350877192982456,0,0.2,0.166666666666667,0,0,1
"324",0.05,0.0909090909090909,0.319308659217877,0.166666666666667,0.105263157894737,0,0.1,0.2,0,0.75,0
"325",0.2,0.0909090909090909,0.508379888268156,0.333333333333333,0.333333333333333,0.125,0,0.133333333333333,0,0.571,1
"326",0,0.0909090909090909,0.423009776536313,0.333333333333333,0.140350877192982,0,0,0.266666666666667,0.5,0.429,0.5
"327",0,0,0.338337988826816,0.166666666666667,0,0,0.1,0.1,0,0,0
"329",0.05,0,0.114175977653631,0,0,0,0,0,0,0,0
"330",0.05,0,0.10858938547486,0.5,0.0350877192982456,0,0,0,0,0.333,0
"331",0.15,0,0.621159217877095,0.333333333333333,0.473684210526316,0.125,0.3,0.166666666666667,0.571,0.692,1
"332",0.15,0.0909090909090909,0.613826815642458,0.166666666666667,0.350877192982456,0,0,0.0666666666666667,0.333,0.462,0.583
"333",0,0,0.513617318435754,0.5,0.228070175438596,0,0.1,0.1,0.6,0.357,0
"334",0.15,0.272727272727273,0.474511173184358,0.666666666666667,0.12280701754386,0,0,0.3,0,0.6,0.5
"335",0,0.0909090909090909,0.428247206703911,0.666666666666667,0.210526315789474,0.125,0.2,0.366666666666667,0,0.444,0.667
